# Markerfree Alignment
# RawSize = 910 646 41
# SEC       ROT          TX        TY         TILT
    0     94.6802      3.034    -12.518     -40.01
    1     94.6802      2.269     -7.958     -38.00
    2     94.6802      1.385    -10.334     -36.01
    3     94.6802      0.973     -1.791     -34.01
    4     94.6802     -8.528     -3.398     -32.01
    5     94.6802    -20.612     -1.653     -30.01
    6     94.6802      1.441     -5.403     -28.01
    7     94.6802      1.429      0.008     -26.01
    8     94.6802      1.092     -4.209     -24.01
    9     94.6802      0.934      1.710     -22.01
   10     94.6802      0.496     -2.960     -20.01
   11     94.6802      0.447      4.313     -18.01
   12     94.6802      0.886     -1.082     -16.01
   13     94.6802     10.269      6.594     -14.02
   14     94.6802     -8.392     -1.230     -12.02
   15     94.6802      0.483      7.353     -10.01
   16     94.6802     -0.095      1.575      -8.01
   17     94.6802      0.950     10.119      -6.01
   18     94.6802      0.000      0.000      -4.01
   19     94.6802      0.639     10.247      -2.01
   20     94.6802     -0.307      7.046      -0.02
   21     94.6802     -0.792      9.199       1.99
   22     94.6802      0.261      2.446       3.99
   23     94.6802      1.142     11.687       5.98
   24     94.6802      0.083      3.197       7.99
   25     94.6802      0.086      8.580       9.98
   26     94.6802     -0.049      2.742      11.98
   27     94.6802    -13.748     25.003      13.98
   28     94.6802    -13.400     22.284      15.98
   29     94.6802      5.585     -1.314      17.98
   30     94.6802      0.233      2.026      19.98
   31     94.6802      1.101      4.607      21.98
   32     94.6802      0.281      0.845      23.98
   33     94.6802      1.384      4.279      25.98
   34     94.6802      0.724      1.114      27.99
   35     94.6802     -8.359      4.567      29.99
   36     94.6802     -4.675      7.200      31.98
   37     94.6802     20.564     -9.844      33.98
   38     94.6802      5.341     -4.824      35.98
   39     94.6802    -11.939      7.943      37.98
   40     94.6802      9.296     -5.049      39.98
angleoffset: 5.000000
Output Bin: 1
Elapsed time: 45.851048 seconds
